allele	iuis_allele
IGLVF1-G1*01	IGLV11-55*01
IGLVF1-G1*02	IGLV11-55*02
IGLVF2-G2*01	IGLV5-52*01
IGLVF2-G3*01	IGLV5-37*03
IGLVF2-G3*02	IGLV5-37*01
IGLVF2-G3*03	IGLV5-37*02
IGLVF2-G4*01	IGLV5-48*01
IGLVF2-G4*02	IGLV5-48*02
IGLVF2-G5*01	IGLV5-39*01
IGLVF2-G6*01	IGLV5-45*04
IGLVF2-G6*02	IGLV5-45*02
IGLVF2-G6*03	IGLV5-45*01
IGLVF2-G6*04	IGLV5-45*03
IGLVF3-G7*01	IGLV9-49*01
IGLVF4-G8*01	IGLV4-3*01
IGLVF4-G9*01	IGLV4-69*01
IGLVF4-G10*01	IGLV4-60*03_c259t
IGLVF4-G10*02	IGLV4-60*02
IGLVF4-G10*03	IGLV4-60*03
IGLVF5-G11*01	IGLV3-2*03
IGLVF6-G12*01	IGLV3-13*01
IGLVF6-G13*01	IGLV3-22*01
IGLVF6-G13*02	IGLV3-22*03
IGLVF6-G14*01	IGLV3-27*01
IGLVF6-G15*01	IGLV3-10*01
IGLVF6-G16*01	IGLV3-16*01
IGLVF6-G16*02	IGLV3-16*01_t145g_t146c
IGLVF6-G16*03	IGLV3-25*03_g74c
IGLVF6-G16*04	IGLV3-25*02
IGLVF6-G16*05	IGLV3-25*03
IGLVF7-G17*01	IGLV3-19*01
IGLVF7-G17*02	IGLV3-19*02
IGLVF8-G18*01	IGLV3-1*01
IGLVF8-G19*01	IGLV3-12*01
IGLVF8-G19*02	IGLV3-12*02
IGLVF8-G20*01	IGLV3-9*01
IGLVF8-G21*01	IGLV3-21*04
IGLVF8-G21*02	IGLV3-21*02
IGLVF8-G21*03	IGLV3-21*03
IGLVF9-G22*01	IGLV8-61*01
IGLVF9-G22*02	IGLV8-61*02
IGLVF10-G23*01	IGLV7-43*01
IGLVF10-G24*01	IGLV7-46*04
IGLVF10-G24*02	IGLV7-46*01
IGLVF10-G24*03	IGLV7-46*02
IGLVF11-G25*01	IGLV10-54*01
IGLVF11-G25*02	IGLV10-54*04
IGLVF11-G25*03	IGLV10-54*02
IGLVF11-G25*04	IGLV10-54*05
IGLVF12-G26*01	IGLV1-41*01
IGLVF12-G26*02	IGLV1-41*02
IGLVF12-G27*01	IGLV1-51*01
IGLVF12-G27*02	IGLV1-51*02
IGLVF12-G28*01	IGLV1-40*01
IGLVF12-G29*01	IGLV1-50*01
IGLVF12-G30*01	IGLV1-36*01
IGLVF12-G30*02	IGLV1-36*01_c330g
IGLVF12-G31*01	IGLV1-47*01
IGLVF12-G31*02	IGLV1-47*02
IGLVF12-G31*03	IGLV1-44*03
IGLVF12-G31*04	IGLV1-44*01
IGLVF12-G31*05	IGLV1-44*02
IGLVF13-G32*01	IGLV6-57*04
IGLVF13-G32*02	IGLV6-57*02
IGLVF13-G32*03	IGLV6-57*01
IGLVF13-G32*04	IGLV6-57*03
IGLVF14-G33*01	IGLV2-33*01
IGLVF14-G34*01	IGLV2-14*05
IGLVF14-G34*02	IGLV2-14*01_g168t_t198g_c337t
IGLVF14-G34*03	IGLV2-14*03
IGLVF14-G34*04	IGLV2-14*01
IGLVF14-G34*05	IGLV2-14*04
IGLVF14-G35*01	IGLV2-23*04
IGLVF14-G35*02	IGLV2-23*02
IGLVF14-G35*03	IGLV2-23*03
IGLVF14-G36*01	IGLV2-18*01
IGLVF14-G36*02	IGLV2-18*02
IGLVF14-G37*01	IGLV2-11*01
IGLVF14-G37*02	IGLV2-8*01
IGLVF14-G37*03	IGLV2-8*03
