allele	iuis	asc	iglabel
IGKVF1-G1*01	IGKV2D-26*03	IGKVF1-G1*01	IGKV1-5IFF*00
IGKVF1-G2*01	IGKV2D-29*01	IGKVF1-G2*01	IGKV1-WYY4*00
IGKVF1-G2*02	IGKV2D-29*02	IGKVF1-G2*02	IGKV1-EG4V*00
IGKVF1-G2*03	IGKV2-29*01	IGKVF1-G2*03	IGKV1-OPDP*00
IGKVF1-G2*04	IGKV2-29*02	IGKVF1-G2*04	IGKV1-PLF5*00
IGKVF1-G3*01	IGKV2D-30*01	IGKVF1-G3*01	IGKV1-2F4I*00
IGKVF1-G3*02	IGKV2-30*01	IGKVF1-G3*02	IGKV1-YF7I*00
IGKVF1-G3*03	IGKV2-30*02	IGKVF1-G3*03	IGKV1-AB2A*00
IGKVF1-G4*01	IGKV2D-24*01	IGKVF1-G4*01	IGKV1-RQGZ*00
IGKVF1-G4*02	IGKV2-24*01	IGKVF1-G4*02	IGKV1-SWUR*00
IGKVF1-G4*03	IGKV2-24*02	IGKVF1-G4*03	IGKV1-J6PN*00
IGKVF1-G5*01	IGKV2-18*01	IGKVF1-G5*01	IGKV1-6U5O*00
IGKVF1-G5*02	IGKV2D-18*01	IGKVF1-G5*02	IGKV1-WRII*00
IGKVF1-G6*01	IGKV2D-28*01	IGKVF1-G6*01	IGKV1-SRLY*00
IGKVF1-G7*01	IGKV2D-40*01	IGKVF1-G7*01	IGKV1-ZJNS*00
IGKVF2-G8*01	IGKV5-2*01	IGKVF2-G8*01	IGKV1-JTDG*00
IGKVF2-G8*02	IGKV5-2*02	IGKVF2-G8*02	IGKV1-JT2D*00
IGKVF3-G9*01	IGKV4-1*01	IGKVF3-G9*01	IGKV1-HRFU*00
IGKVF3-G9*02	IGKV4-1*02	IGKVF3-G9*02	IGKV1-POI3*00
IGKVF4-G10*01	IGKV3D-15*03	IGKVF4-G10*01	IGKV1-OSH5*00
IGKVF4-G10*02	IGKV3-15*01	IGKVF4-G10*02	IGKV1-W7IP*00
IGKVF4-G10*03	IGKV3D-15*01	IGKVF4-G10*03	IGKV1-UR4P*00
IGKVF4-G11*01	IGKV3-11*01	IGKVF4-G11*01	IGKV1-6NJH*00
IGKVF4-G11*02	IGKV3D-11*01	IGKVF4-G11*02	IGKV1-GTCK*00
IGKVF4-G11*03	IGKV3D-11*02	IGKVF4-G11*03	IGKV1-6IMN*00
IGKVF4-G12*01	IGKV3-20*01	IGKVF4-G12*01	IGKV1-LON6*00
IGKVF4-G12*02	IGKV3D-20*01	IGKVF4-G12*02	IGKV1-VB5W*00
IGKVF4-G13*01	IGKV3-7*04	IGKVF4-G13*01	IGKV1-KNDR*00
IGKVF4-G13*02	IGKV3D-7*01	IGKVF4-G13*02	IGKV1-EWGA*00
IGKVF5-G14*01	IGKV6D-41*01	IGKVF5-G14*01	IGKV1-GXF3*00
IGKVF5-G15*01	IGKV6D-21*02	IGKVF5-G15*01	IGKV1-HGYX*00
IGKVF5-G15*02	IGKV6-21*02	IGKVF5-G15*02	IGKV1-227Y*00
IGKVF5-G15*03	IGKV6D-21*01	IGKVF5-G15*03	IGKV1-B2T6*00
IGKVF6-G16*01	IGKV1D-42*01	IGKVF6-G16*01	IGKV1-6HUK*00
IGKVF6-G16*02	IGKV1D-42*02	IGKVF6-G16*02	IGKV1-OHHO*00
IGKVF6-G17*01	IGKV1-5*01	IGKVF6-G17*01	IGKV1-6LSD*00
IGKVF6-G17*02	IGKV1-5*05	IGKVF6-G17*02	IGKV1-RSE5*00
IGKVF6-G17*03	IGKV1-5*03	IGKVF6-G17*03	IGKV1-PGB5*00
IGKVF6-G17*04	IGKV1-5*04	IGKVF6-G17*04	IGKV1-6FMK*00
IGKVF6-G18*01	IGKV1D-33*01	IGKVF6-G18*01	IGKV1-SMWH*00
IGKVF6-G19*01	IGKV1-8*02	IGKVF6-G19*01	IGKV1-RJB3*00
IGKVF6-G19*02	IGKV1-8*01	IGKVF6-G19*02	IGKV1-EPSG*00
IGKVF6-G19*03	IGKV1-8*03	IGKVF6-G19*03	IGKV1-ZQWR*00
IGKVF6-G19*04	IGKV1D-8*02	IGKVF6-G19*04	IGKV1-NVAE*00
IGKVF6-G19*05	IGKV1D-8*01	IGKVF6-G19*05	IGKV1-BPBK*00
IGKVF6-G19*06	IGKV1D-8*04	IGKVF6-G19*06	IGKV1-G5WD*00
IGKVF6-G20*01	IGKV1-NL1*01	IGKVF6-G20*01	IGKV1-PLJP*00
IGKVF6-G21*01	IGKV1D-43*01	IGKVF6-G21*01	IGKV1-CEQR*00
IGKVF6-G22*01	IGKV1-17*03	IGKVF6-G22*01	IGKV1-QHWR*00
IGKVF6-G22*02	IGKV1D-17*01	IGKVF6-G22*02	IGKV1-P4YK*00
IGKVF6-G23*01	IGKV1-12*01	IGKVF6-G23*01	IGKV1-LQ3Y*00
IGKVF6-G23*02	IGKV1D-12*01	IGKVF6-G23*02	IGKV1-4XID*00
IGKVF6-G24*01	IGKV1-16*02	IGKVF6-G24*01	IGKV1-NKNT*00
IGKVF6-G24*02	IGKV1D-16*01	IGKVF6-G24*02	IGKV1-AZST*00
IGKVF6-G24*03	IGKV1D-16*02	IGKVF6-G24*03	IGKV1-EHWM*00
IGKVF6-G25*01	IGKV1-17*01	IGKVF6-G25*01	IGKV1-POWT*00
IGKVF6-G25*02	IGKV1-6*01	IGKVF6-G25*02	IGKV1-K4UB*00
IGKVF6-G26*01	IGKV1-9*01	IGKVF6-G26*01	IGKV1-CHYS*00
IGKVF6-G26*02	IGKV1-9*02	IGKVF6-G26*02	IGKV1-OHYA*00
IGKVF6-G27*01	IGKV1-13*01	IGKVF6-G27*01	IGKV1-IFVS*00
IGKVF6-G27*02	IGKV1D-13*02	IGKVF6-G27*02	IGKV1-NZ3D*00
IGKVF6-G28*01	IGKV1D-39*01	IGKVF6-G28*01	IGKV1-SVDQ*00
IGKVF6-G29*01	IGKV1-27*01	IGKVF6-G29*01	IGKV1-EBUV*00
IGKVF6-G29*02	IGKV1-27*02	IGKVF6-G29*02	IGKV1-K5SX*00
