allele	iuis_allele
IGHVF1-G1*01	IGHV2-26*04
IGHVF1-G1*02	IGHV2-26*01
IGHVF1-G1*03	IGHV2-26*02
IGHVF1-G2*01	IGHV2-5*01
IGHVF1-G2*02	IGHV2-5*02
IGHVF1-G3*01	IGHV2-70*20
IGHVF1-G3*02	IGHV2-70*01
IGHVF1-G3*03	IGHV2-70*15
IGHVF1-G3*04	IGHV2-70D*14
IGHVF1-G3*05	IGHV2-70*05
IGHVF1-G3*06	IGHV2-70*04/IGHV2-70D*04
IGHVF2-G4*01	IGHV6-1*01
IGHVF2-G4*02	IGHV6-1*03
IGHVF3-G5*01	IGHV4-34*01
IGHVF3-G6*01	IGHV4-4*07
IGHVF3-G6*02	IGHV4-4*08
IGHVF3-G6*03	IGHV4-4*09
IGHVF3-G6*04	IGHV4-59*12
IGHVF3-G6*05	IGHV4-NL1*01
IGHVF3-G6*06	IGHV4-59*i03
IGHVF3-G6*07	IGHV4-59*01
IGHVF3-G6*08	IGHV4-59*11
IGHVF3-G7*01	IGHV4-61*02
IGHVF3-G7*02	IGHV4-61*11
IGHVF3-G7*03	IGHV4-61*10
IGHVF3-G7*04	IGHV4-61*01
IGHVF3-G7*05	IGHV4-61*i04
IGHVF3-G8*01	IGHV4-4*01
IGHVF3-G8*02	IGHV4-4*03
IGHVF3-G8*03	IGHV4-4*02
IGHVF3-G8*04	IGHV4-4*10
IGHVF3-G9*01	IGHV4-28*02
IGHVF3-G9*02	IGHV4-28*07
IGHVF3-G9*03	IGHV4-28*05
IGHVF3-G9*04	IGHV4-28*01
IGHVF3-G9*04_A319G	IGHV4-28*03
IGHVF3-G10*01	IGHV4-38-2*01
IGHVF3-G10*02	IGHV4-38-2*02
IGHVF3-G10*03	IGHV4-39*07
IGHVF3-G10*04	IGHV4-39*09
IGHVF3-G10*05	IGHV4-39*i03
IGHVF3-G10*06	IGHV4-39*01
IGHVF3-G10*07	IGHV4-39*08
IGHVF3-G11*01	IGHV4-31*11
IGHVF3-G11*02	IGHV4-31*01
IGHVF3-G11*03	IGHV4-30-4*09/IGHV4-31*03
IGHVF3-G11*04	IGHV4-30-4*i02
IGHVF3-G11*05	IGHV4-30-4*01
IGHVF3-G11*06	IGHV4-30-4*08
IGHVF3-G12*01	IGHV4-30-4*07
IGHVF3-G12*02	IGHV4-30-2*05
IGHVF3-G12*03	IGHV4-30-2*01
IGHVF3-G12*04	IGHV4-30-2*06
IGHVF4-G13*01	IGHV5-10-1*01
IGHVF4-G13*02	IGHV5-10-1*03
IGHVF4-G14*01	IGHV5-51*07
IGHVF4-G14*02	IGHV5-51*06
IGHVF4-G14*03	IGHV5-51*01
IGHVF4-G14*04	IGHV5-51*03
IGHVF5-G15*01	IGHV7-81*01
IGHVF5-G16*01	IGHV7-4-1*01
IGHVF5-G16*02	IGHV7-4-1*02
IGHVF5-G16*03	IGHV7-4-1*04
IGHVF5-G16*04	IGHV7-4-1*05
