allele	iuis	asc	iglabel
IGHJ5-2TKS*01	IGHJ5*02	IGHJ5-2TKS*01	IGHJ1-2TKS*00
IGHV3-BR4P*01	IGHV3-19*01	IGHV3-BR4P*01	IGHV1-BR4P*00
IGHJ4-AG67*01	IGHJ4*02	IGHJ4-AG67*01	IGHJ1-AG67*00
IGHJ4-AG67*02	IGHJ4*02_c29g	IGHJ4-AG67*02	IGHJ1-MU46*00
IGHD2-IKOP*02	IGHD2-21*02	IGHD2-IKOP*02	IGHD1-XRHC*00
IGHD2-IKOP*01	IGHD2-21*01	IGHD2-IKOP*01	IGHD1-IKOP*00
IGHD2-AL4M*01	IGHD2-8*01	IGHD2-AL4M*01	IGHD1-AL4M*00
IGHD2-AL4M*02	IGHD2-8*02	IGHD2-AL4M*02	IGHD1-ZDF6*00
IGHD2-7XRZ*04	IGHD2-2*02	IGHD2-7XRZ*04	IGHD1-WMY4*00
IGHD2-7XRZ*03	IGHD2-2*01	IGHD2-7XRZ*03	IGHD1-H3VN*00
IGHD2-XRP6*01	IGHD2-15*01	IGHD2-XRP6*01	IGHD1-XRP6*00
IGHD2-7XRZ*02	IGHD2-2*01_g12t	IGHD2-7XRZ*02	IGHD1-CZDY*00
IGHD5-36AY*03	IGHD5-12*01_g1a	IGHD5-36AY*03	IGHD1-UBN7*00
IGHJ6-2SFB*01	IGHJ6*03_t3-_a4-_c5-_a36c	IGHJ6-2SFB*01	IGHJ1-2SFB*00
IGHJ6-2SFB*03	IGHJ6*02_c36a	IGHJ6-2SFB*03	IGHJ1-HFLR*00
IGHJ6-2SFB*02	IGHJ6*02	IGHJ6-2SFB*02	IGHJ1-3RI3*00
IGHJ6-2SFB*04	IGHJ6*03	IGHJ6-2SFB*04	IGHJ1-QD6K*00
IGHV1-ARUH*05	IGHV1-58*03	IGHV1-ARUH*05	IGHV1-M76S*00
IGHV1-ARUH*02	IGHV1-58*02	IGHV1-ARUH*02	IGHV1-BAZM*00
IGHV1-ARUH*04	IGHV1-58*01_t163c	IGHV1-ARUH*04	IGHV1-EPRW*00
IGHV1-ARUH*06	IGHV1-58*01	IGHV1-ARUH*06	IGHV1-NCY5*00
