allele	anchor
IGHJ5-2TKS*01	17
IGHJ4-AG67*01	14
IGHJ4-AG67*02	14
IGHJ6-2SFB*01	26
IGHJ6-2SFB*03	29
IGHJ6-2SFB*02	29
IGHJ6-2SFB*04	29
IGHJ2-AZGQ*01	19
IGHJ1-VWSM*01	18
IGHJ3-CBX5*01	16
